55,Algeria,12,273954,262032,250110,197728,217268,239473,250378,150234,143696,137158,108434,114894,126522,132142,123720,118336,112952,89294,102374,112951,118236
56,Egypt,818,173833,166955,184774,285006,310017,353641,543937,91995,88545,98224,165211,174104,207433,289552,81838,78410,86550,119795,135913,146208,254385
57,Libya,434,457075,508041,567436,625412,687192,771146,826537,242707,300906,368950,445685,491303,549153,593797,214368,207135,198486,179727,195889,221993,232740
58,Morocco,504,54895,50360,53034,56222,71189,92424,102358,29024,26264,27233,28486,35881,46387,52707,25871,24096,25801,27736,35308,46037,49651
59,Sudan,729,1402896,1053396,805086,546419,618709,620523,1379147,696385,525701,404618,278084,314552,311885,685177,706511,527695,400468,268335,304157,308638,693970
60,Tunisia,788,37984,37867,36719,35040,43172,56532,60145,18900,19045,18679,18000,22236,29253,31474,19084,18822,18040,17040,20936,27279,28671
61,Western Sahara,732,2688,2989,3289,3891,4493,5179,5424,1465,1651,1837,2224,2612,3059,3205,1223,1338,1452,1667,1881,2120,2219
62,Southern Africa,913,1395265,1201708,1267695,1582721,2352541,3477903,3125072,841812,718438,745852,909827,1351820,1905968,1772593,553453,483270,521843,672894,1000721,1571935,1352479
63,Botswana,72,27510,40168,74934,84661,94863,103053,110268,16614,23517,43840,49159,54019,58651,62817,10896,16651,31094,35502,40844,44402,47451
64,Eswatini,748,74991,35157,34084,33392,32637,32352,32858,39905,18701,17921,17369,16790,16627,16921,35086,16456,16163,16023,15847,15725,15937
65,Lesotho,426,8240,7204,6167,6290,6414,9152,12060,4318,3827,3335,3402,3469,5037,6537,3922,3377,2832,2888,2945,4115,5523
66,Namibia,516,120641,115372,135547,107347,103826,101618,109391,63748,61310,73154,57625,55803,54739,59024,56893,54062,62393,49722,48023,46879,50367
67,South Africa,710,1163883,1003807,1016963,1351031,2114801,3231728,2860495,717227,611083,607602,782272,1221739,1770914,1627294,446656,392724,409361,568759,893062,1460814,1233201
68,Western Africa,914,4470738,5433595,5261131,5957048,6321637,7067138,7552097,2392396,2876376,2794970,3194953,3388693,3754026,4000618,2078342,2557219,2466161,2762095,2932944,3313112,3551479
69,Benin,204,76751,105703,134655,248320,309225,366284,394276,40418,56304,72190,122368,143632,172056,185619,36333,49399,62465,125952,165593,194228,208657
70,Burkina Faso,854,349652,464104,520363,597658,674438,704676,723989,167834,223156,250555,285871,320939,335328,344331,181818,240948,269808,311787,353499,369348,379658
71,Cabo Verde,132,8931,9979,11027,12700,14373,14924,15788,4429,5091,5753,6523,7293,7547,7985,4502,4888,5274,6177,7080,7377,7803
72,C�te d'Ivoire,384,1816426,2076394,2163644,2265090,2366537,2470613,2564857,1011749,1150710,1198496,1254690,1310459,1368110,1420248,804677,925684,965148,1010400,1056078,1102503,1144609
73,Gambia,270,118123,150890,182514,181839,185837,192540,215659,66306,82048,97138,96196,98123,101501,113766,51817,68842,85376,85643,87714,91039,101893
74,Ghana,288,164851,252879,191601,309932,337766,414744,476412,83030,127423,97279,159527,180030,221026,254403,81821,125456,94322,150405,157736,193718,222009
75,Guinea,324,403621,774505,560075,233419,178762,126657,121437,201260,386537,279108,113528,93267,74193,71385,202361,387968,280967,119891,85495,52464,50052
76,Guinea-Bissau,624,15368,27961,20450,20902,21391,22333,17945,7689,13833,10155,10380,10463,10826,8867,7679,14128,10295,10522,10928,11507,9078
77,Liberia,430,94964,208563,151868,87217,99165,112111,87947,53924,111647,82129,51197,56902,64079,50694,41040,96916,69739,36020,42263,48032,37253
78,Mali,466,160736,176187,189475,258630,341078,420504,485829,82049,90871,97752,133344,173088,213218,246308,78687,85316,91723,125286,167990,207286,239521
79,Mauritania,478,111650,89562,57366,58211,84920,166552,182286,57569,47015,31163,32642,48746,94070,103203,54081,42547,26203,25569,36174,72482,79083
80,Niger,562,115464,145999,122260,124509,126482,252998,348056,55222,69751,58192,59194,60042,119915,162019,60242,76248,64068,65315,66440,133083,186037
81,Nigeria,566,456621,462999,487882,969714,990494,1199115,1308568,256166,258091,270211,564612,576648,657887,713678,200455,204908,217671,405102,413846,541228,594890
82,Saint Helena*,654,178,117,108,163,248,377,437,110,70,61,85,136,251,306,68,47,47,78,112,126,131
83,Senegal,686,270410,287654,231901,238298,256092,266496,274929,138840,147165,121492,124854,135879,141402,145591,131570,140489,110409,113444,120213,125094,129338
84,Sierra Leone,694,222148,98516,97974,146227,79265,58830,53746,122898,55937,54184,76709,43622,33077,30408,99250,42579,43790,69518,35643,25753,23338
85,Togo,768,84844,101583,137968,204219,255564,277384,279936,42903,50727,69112,103233,129424,139540,141807,41941,50856,68856,100986,126140,137844,138129
86,ASIA,935,48209949,46418044,49066986,53249787,66123640,77191249,85618502,25669852,24775923,26295146,29083644,37687306,44550946,49796904,22540097,21642121,22771840,24166143,28436334,32640303,35821598
87,Central Asia,5500,6630683,5904795,5189082,5235877,5264938,5392792,5564042,2972344,2655599,2327133,2413191,2490544,2596335,2685448,3658339,3249196,2861949,2822686,2774394,2796457,2878594
88,Kazakhstan,398,3619200,3251968,2874194,3103027,3334937,3546060,3732073,1666164,1497455,1323580,1472820,1625155,1757828,1850097,1953036,1754513,1550614,1630207,1709782,1788232,1881976
89,Kyrgyzstan,417,623083,518338,389824,309399,232065,204382,199011,260416,216638,162927,128064,94596,82616,80456,362667,301700,226897,181335,137469,121766,118555
90,Tajikistan,762,428900,348347,299499,280466,279808,275101,276031,187972,151894,131653,121403,121780,118639,119174,240928,196453,167846,159063,158028,156462,156857
91,Turkmenistan,795,306500,273565,219067,213053,197979,196376,194920,134174,132122,102810,101214,90634,91531,92357,172326,141443,116257,111839,107345,104845,102563
92,Uzbekistan,860,1653000,1512577,1406498,1329932,1220149,1170873,1162007,723618,657490,606163,589690,558379,545721,543364,929382,855087,800335,740242,661770,625152,618643
93,Eastern Asia,906,3959266,4639749,5393004,6228684,7062527,7866663,8975729,1996803,2274256,2551537,2938257,3321334,3744128,4277681,1962463,2365493,2841467,3290427,3741193,4122535,4698048
94,China*,156,376361,442198,508034,678947,849861,978046,1039675,191954,223018,254082,379920,505758,600136,637952,184407,219180,253952,299027,344103,377910,401723
95,China Hong Kong SAR*,344,2218473,2443798,2669122,2721235,2779950,2841113,2962492,1124544,1175087,1225629,1185121,1147539,1120982,1107970,1093929,1268711,1443493,1536114,1632411,1720131,1854522
96,China Macao SAR*,446,205047,224929,240791,279308,318506,376066,403490,96379,103660,109391,130387,146407,174589,187321,108668,121269,131400,148921,172099,201477,216169
97,China Taiwan Province of China*,158,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
98,Dem. People's Republic of Korea,408,34103,35143,36183,40097,44010,48458,49549,17393,17562,17731,19749,21766,24110,24654,16710,17581,18452,20348,22244,24348,24895
99,Japan,392,1075317,1362371,1686444,2011555,2134151,2232189,2770996,538765,680212,796928,931198,972481,1050070,1347156,536552,682159,889516,1080357,1161670,1182119,1423840
100,Mongolia,496,6718,7424,8206,11477,16062,19886,21345,3419,3959,4564,7577,11880,13284,14263,3299,3465,3642,3900,4182,6602,7082
101,Republic of Korea,410,43247,123886,244224,486065,919987,1370905,1728182,24349,70758,143212,284305,515503,760957,958365,18898,53128,101012,201760,404484,609948,769817
102,South-Eastern Asia,920,2876616,3700057,5113208,6750473,8697936,10161147,10615377,1511104,1916620,2614376,3497791,4544819,5356686,5643257,1365512,1783437,2498832,3252682,4153117,4804461,4972120
103,Brunei Darussalam,96,73200,84748,96296,98441,100587,102733,111959,41856,47832,53807,55265,56723,58181,63407,31344,36916,42489,43176,43864,44552,48552
104,Cambodia,116,38375,92230,146085,114096,82028,73962,79341,19084,45361,71638,57545,43412,39854,42730,19291,46869,74447,56551,38616,34108,36611
105,Indonesia,360,465612,378960,292307,289310,307487,338124,355505,229885,191600,153315,165287,176522,196717,206538,235727,187360,138992,124023,130965,141407,148967
106,Lao People's Democratic Republic,418,22866,23526,21948,20371,32955,45538,48731,11806,12199,11564,10930,20133,29335,31393,11060,11327,10384,9441,12822,16203,17338
107,Malaysia*,458,695920,937368,1463598,1918504,2417395,3280681,3476560,405808,534964,822679,1133541,1469977,1996220,2156265,290112,402404,640919,784963,947418,1284461,1320295
108,Myanmar,104,133545,113663,98011,83025,76414,73309,76446,72310,61489,52150,44506,41574,40178,41898,61235,52174,45861,38519,34840,33131,34548
109,Philippines,608,154071,207345,318095,257468,208599,211862,225525,81347,107524,161904,133023,107933,109783,117105,72724,99821,156191,124445,100666,102079,108420
110,Singapore,702,727262,991492,1351691,1710594,2164794,2483405,2523648,345842,456411,601671,758762,956856,1096394,1112517,381420,535081,750020,951832,1207938,1387011,1411131
111,Thailand,764,528693,809720,1257821,2195610,3234381,3470220,3632496,283486,426290,647728,1102248,1629881,1742708,1821857,245207,383430,610093,1093362,1604500,1727512,1810639
112,Timor-Leste,626,8954,9743,10602,11286,11540,8520,8399,4450,4763,5095,5578,5837,5148,5076,4504,4980,5507,5708,5703,3372,3323
113,Viet Nam,704,28118,51262,56754,51768,61756,72793,76767,15230,28187,32825,31106,35971,42168,44471,12888,23075,23929,20662,25785,30625,32296
114,Southern Asia,5501,19537940,15343019,14950743,13618667,14411845,13873473,13863534,10283173,7987547,7798733,6981986,7326556,7007526,7042488,9254767,7355472,7152010,6636681,7085289,6865947,6821046
115,Afghanistan,4,57686,71522,75917,87314,102276,339432,144098,32558,39105,42848,49281,57726,171550,69189,25128,32417,33069,38033,44550,167882,74909
116,Bangladesh,50,881617,934735,987853,1062270,1345546,1422179,2115408,476097,503989,531907,572146,710548,751741,1093978,405520,430746,455946,490124,634998,670438,1021430
117,Bhutan,64,23807,27972,32137,40279,48420,51106,53612,19409,22804,26200,32742,39283,43396,45524,4398,5168,5937,7537,9137,7710,8088
118,India,356,7594801,6952238,6411331,5936740,5574018,5210847,4878704,3967470,3608978,3303591,2931489,2699495,2474515,2273912,3627331,3343260,3107740,3005251,2874523,2736332,2604792
119,Iran (Islamic Republic of),364,4291601,2937668,2476469,2552206,2722397,2729939,2797235,2369093,1612428,1365390,1401736,1490419,1487403,1517518,1922508,1325240,1111079,1150470,1231978,1242536,1279717
120,Maldives,462,8689,18510,27092,45045,54659,64273,70079,4777,9243,14907,27079,41712,56345,61437,3912,9267,12185,17966,12947,7928,8642
121,Nepal,524,429974,690225,717900,680729,581889,509471,487564,125966,217088,241959,235852,191167,156361,146930,304008,473137,475941,444877,390722,353110,340634
122,Pakistan,586,6208204,3669308,4181912,3174558,3943681,3506520,3276580,3264380,1951223,2249960,1710343,2075512,1845470,1812804,2943824,1718085,1931952,1464215,1868169,1661050,1463776
123,Sri Lanka,144,41561,40841,40132,39526,38959,39706,40254,23423,22689,21971,21318,20694,20745,21196,18138,18152,18161,18208,18265,18961,19058
124,Western Asia,922,15205444,16830424,18420949,21416086,30686394,39897174,46599820,8906428,9941901,11003367,13252419,20004053,25846271,30148030,6299016,6888523,7417582,8163667,10682341,14050903,16451790
125,Armenia,51,658789,693999,657900,469189,211147,191199,190349,270535,284995,270170,191432,85669,77436,78085,388254,409004,387730,277757,125478,113763,112264
126,Azerbaijan*,31,360600,344070,327540,301834,276901,264359,252228,157856,149509,141161,135143,129512,126656,121007,202744,194561,186379,166691,147389,137703,131221
127,Bahrain,48,173212,205979,239361,404018,666406,722487,936094,122730,144227,165344,288614,481344,529546,694238,50482,61752,74017,115404,185062,192941,241856
128,Cyprus*,196,43805,61941,80076,122849,188472,176693,190366,20463,27604,34745,53532,82477,77357,85679,23342,34337,45331,69317,105995,99336,104687
129,Georgia*,268,304470,152235,76117,71296,73078,76685,79368,133285,66643,33321,31215,31993,33570,34879,171185,85592,42796,40081,41085,43115,44489
130,Iraq,368,83638,199460,210525,134863,120466,359352,365766,55751,114821,120464,81877,74535,209217,201427,27887,84639,90061,52986,45931,150135,164339
131,Israel,376,1632704,1792185,1851309,1889503,1956190,2011727,1953575,770777,830330,853712,867805,892887,912899,886517,861927,961855,997597,1021698,1063303,1098828,1067058
132,Jordan,400,1146349,1537097,1927845,2198740,2786853,3166961,3457691,586473,784725,982977,1119171,1416784,1594808,1756637,559876,752372,944868,1079569,1370069,1572153,1701054
133,Kuwait,414,1074391,921954,1127640,1333530,1874812,2866136,3110159,654878,591452,761512,918718,1312111,1901855,2063430,419513,330502,366128,414812,562701,964281,1046729
134,Lebanon,422,523693,608303,692913,742243,793191,1916259,1712762,267922,310613,353305,382830,413057,921661,839706,255771,297690,339608,359413,380134,994598,873056
135,Oman,512,304000,539643,623608,666164,816234,1856226,2372836,242477,417444,488389,527845,658753,1552000,1984025,61523,122199,135219,138319,157481,304226,388811
136,Qatar,634,309753,361673,359697,646026,1456413,1687640,2226192,225932,269972,274242,498428,1206571,1416361,1842785,83821,91701,85455,147598,249842,271279,383407
137,Saudi Arabia,682,4998445,5122702,5263387,6501819,8429956,10771366,13454842,3324873,3416485,3517768,4469805,5933281,7461502,9235130,1673572,1706217,1745619,2032014,2496675,3309864,4219712
138,State of Palestine*,275,288332,281767,275202,274520,273840,273163,272784,132101,128328,124555,124608,124660,124710,124737,156231,153439,150647,149912,149180,148453,148047
139,Syrian Arab Republic,760,714140,830610,834916,882398,1783595,835716,868711,364077,423115,427981,452524,910982,426967,432279,350063,407495,406935,429874,872613,408749,436432
140,Turkey,792,1163686,1216173,1280963,1324108,1373749,4346197,6052652,577329,593938,616007,621694,629868,2390166,3124165,586357,622235,664956,702414,743881,1956031,2928487
141,United Arab Emirates,784,1306574,1824118,2447010,3281115,7316697,7995126,8716332,931959,1309868,1757200,2388299,5463446,5890170,6419792,374615,514250,689810,892816,1853251,2104956,2296540
142,Yemen,887,118863,136515,144940,171871,288394,379882,387113,67010,77832,80514,98879,156123,199390,223512,51853,58683,64426,72992,132271,180492,163601
143,EUROPE,908,49608225,53489827,56858793,63585731,70627160,74759083,86706068,24119388,25913001,27501320,30770997,34086590,35808075,41979164,25488837,27576826,29357473,32814734,36540570,38951008,44726904
144,Eastern Europe,923,21995312,21344124,20435785,19744557,19110686,19833989,20835402,10199700,10013084,9695286,9358006,9035538,9395960,9978380,11795612,11331040,10740499,10386551,10075148,10438029,10857022
145,Belarus,112,1248977,1186282,1123586,1106982,1090378,1082905,1067090,572021,543307,514593,506988,499384,495961,488713,676956,642975,608993,599994,590994,586944,578377
146,Bulgaria,100,21510,32435,43360,61074,76287,123803,184363,9047,13642,18238,26594,33841,60058,91585,12463,18793,25122,34480,42446,63745,92778
147,Czechia,203,110394,165592,220789,322540,398493,416454,540921,57405,88316,119227,181719,236160,239228,312941,52989,77276,101562,140821,162333,177226,227980
148,Hungary,348,347510,322234,296957,366787,436616,475508,584567,156185,147202,138219,174216,210212,235719,303065,191325,175032,158738,192571,226404,239789,281502
149,Poland,616,1127771,964725,825251,722509,642417,611855,817254,482176,404049,338323,297039,262263,256623,390449,645595,560676,486928,425470,380154,355232,426805
150,Republic of Moldova*,498,544162,367231,247828,171122,129488,106374,104438,238053,155297,101097,67924,52198,43467,42743,306109,211934,146731,103198,77290,62907,61695
151,Romania,642,135825,135037,134254,145162,177211,281048,705310,57601,60443,63121,70153,87667,146758,386946,78224,74594,71133,75009,89544,134290,318364
152,Russian Federation,643,11524948,11928927,11900297,11667588,11194710,11643276,11636911,5655422,5925452,5982851,5806597,5514401,5715211,5712089,5869526,6003475,5917446,5860991,5680309,5928065,5924822
153,Slovakia,703,41295,69323,116376,130491,146319,177624,197161,18187,30531,51253,58716,66938,89011,100551,23108,38792,65123,71775,79381,88613,96610
154,Ukraine*,804,6892920,6172338,5527087,5050302,4818767,4915142,4997387,2953603,2644845,2368364,2168060,2072474,2113924,2149298,3939317,3527493,3158723,2882242,2746293,2801218,2848089
155,Northern Europe,924,6645605,7194824,7900973,9588814,11294937,13191086,14973861,3176421,3404174,3711179,4564413,5447856,6347909,7257061,3469184,3790650,4189794,5024401,5847081,6843177,7716800
156,Channel Islands*,830,61660,60519,64301,70941,77581,82307,84087,29005,28468,30234,33611,36982,39338,40190,32655,32051,34067,37330,40599,42969,43897
157,Denmark*,208,235189,303108,371026,440383,500772,595876,717574,114411,147194,179977,213097,242029,291431,354476,120778,155914,191049,227286,258743,304445,363098
158,Estonia,233,381997,315755,249512,233701,217890,194664,199277,171691,136268,100844,94244,87644,80024,86767,210306,179487,148668,139457,130246,114640,112510
159,Faroe Islands*,234,4285,2900,3593,4583,5096,5485,6812,2440,1575,1921,2450,2700,2783,3542,1845,1325,1672,2133,2396,2702,3270
160,Finland*,246,63255,99729,136203,192169,228481,314856,386052,31682,49575,67469,96429,115105,159315,198822,31573,50154,68734,95740,113376,155541,187230
161,Iceland,352,9584,12738,15892,25492,35091,39072,65424,4248,5727,7207,12413,17619,19070,35716,5336,7011,8685,13079,17472,20002,29708
162,Ireland,372,227961,226892,350552,589046,730542,759256,871256,112093,108084,172959,309910,360440,376338,434756,115868,118808,177593,279136,370102,382918,436500
163,Isle of Man*,833,34769,36886,39002,41475,43447,42238,43040,16371,17548,18725,20214,21361,20596,20987,18398,19338,20277,21261,22086,21642,22053
164,Latvia,428,646007,538093,430178,376725,313786,265418,239422,290800,234216,177632,154745,124675,104011,97022,355207,303877,252546,221980,189111,161407,142400
165,Lithuania,440,349258,273587,214311,201209,160772,136021,145184,164585,128641,100546,94189,69606,57508,73148,184673,144946,113765,107020,91166,78513,72036
166,Norway*,578,192587,233302,292440,361144,524601,746375,852238,99562,117222,144826,176444,267235,389370,439206,93025,116080,147614,184700,257366,357005,413032
167,Sweden,752,788767,936022,1003798,1125790,1337214,1602522,2003908,383085,450945,480211,538490,648004,786870,1008006,405682,485077,523587,587300,689210,815652,995902
168,United Kingdom*,826,3650286,4155293,4730165,5926156,7119664,8406996,9359587,1756448,1978711,2228628,2818177,3454456,4021255,4464423,1893838,2176582,2501537,3107979,3665208,4385741,4895164
169,Southern Europe,925,4340433,6230114,7681658,12004024,16206273,15815457,17665688,2062991,2959579,3688926,5851155,7876651,7427084,8355064,2277442,3270535,3992732,6152869,8329622,8388373,9310624
170,Albania,8,66013,71354,76695,64739,52784,52031,48810,30579,33284,35990,32993,26901,26517,24908,35434,38070,40705,31746,25883,25514,23902
171,Andorra,20,38891,44206,42147,50298,52053,42264,45574,20990,23588,22093,26466,27287,21485,23333,17901,20618,20054,23832,24766,20779,22241
172,Bosnia and Herzegovina,70,56000,69476,82952,47287,38945,38597,36042,26538,33115,39691,22481,18581,18412,16880,29462,36361,43261,24806,20364,20185,19162
173,Croatia,191,475438,674085,585298,579273,573248,561093,528056,222531,315733,274823,271645,268466,260473,245564,252907,358352,310475,307628,304782,300620,282492
174,Gibraltar*,292,8709,8381,8054,9211,10369,11065,11190,4528,4196,3865,4518,5171,5591,5656,4181,4185,4189,4693,5198,5474,5534
